in:location,in:Orientation,in:ObstructAngle,in:Width,in:Depth,in:Ceiling Height,in:Wall Thickness,in:Window Width,in:Window Bottom Sill,in:Window Top Sill,in:Spacing Between Windows,in:WWR,in:Ceiling Reflectance,in:Wall Reflectance,in:Floor Reflectance,in:Shade Trigger Distance (1000 direct),out:sDA300
 PH,0,40,40,30,10,1.5,2,0.3,9.7,1,0.564,80,60,20,1,0.207
 PH,0,0,40,30,12,1.5,4,0.3,11.7,4,0.38,80,60,20,1,0.138
 PH,180,0,40,30,12,1.5,3,2.5,11.7,4,0.2875,80,60,20,5,0.586
 SC,270,40,40,30,9,1.5,3,2.5,8.7,1,0.465,80,60,20,1,0.241
 SC,270,20,40,50,9,1,1,0.3,8.7,1,0.443333333,80,60,20,1,0.163
 PH,270,40,40,30,9,1.5,1,0.3,8.7,1,0.443333333,80,60,20,1,0
 SC,180,0,40,30,10,0.5,3,2.5,9.7,1,0.486,80,60,20,5,0.69
 PH,0,20,40,30,12,1,1,0.3,11.7,4,0.16625,80,60,20,1,0
 SC,180,40,40,50,10,1.5,2,2.5,9.7,2,0.324,80,60,20,5,0.122
 PH,180,0,40,30,10,0.5,4,0.3,9.7,4,0.376,80,60,20,1,0.655
 PH,270,20,40,50,9,0.5,1,2.5,8.7,2,0.223888889,80,60,20,5,0.143
 SC,270,0,40,30,12,1,3,2.5,11.7,3,0.345,80,60,20,5,0.483
 PH,0,0,40,50,10,1.5,3,2.5,9.7,2,0.378,80,60,20,5,0.327
 SC,0,20,40,30,10,1,4,2.5,9.7,4,0.288,80,60,20,1,0.138
 SC,90,40,40,50,9,1,3,2.5,8.7,4,0.258333333,80,60,20,1,0.102
 SC,270,40,40,40,10,1.5,3,2.5,9.7,3,0.324,80,60,20,1,0.207
 PH,0,20,40,50,9,1,1,0.3,8.7,2,0.303333333,80,60,20,5,0
 PH,180,20,40,50,9,0.5,1,2.5,8.7,4,0.120555556,80,60,20,5,0
 PH,90,20,40,30,10,0.5,1,2.5,9.7,2,0.234,80,60,20,1,0.448
 SC,90,0,40,30,12,1.5,3,0.3,11.7,3,0.4275,80,60,20,1,0.517
 SC,270,20,40,30,9,1.5,3,2.5,8.7,3,0.31,80,60,20,1,0.276
 PH,270,0,40,50,12,1,4,2.5,11.7,2,0.46,80,60,20,5,0.347
 PH,90,40,40,40,9,1.5,2,2.5,8.7,2,0.31,80,60,20,1,0.231
 SC,90,40,40,30,9,1.5,2,0.3,8.7,4,0.28,80,60,20,5,0.138
 PH,270,20,40,30,10,1,4,0.3,9.7,2,0.564,80,60,20,1,0.69
 SC,90,0,40,30,9,1,4,0.3,8.7,1,0.653333333,80,60,20,1,0.517
 SC,180,0,40,30,10,0.5,2,0.3,9.7,2,0.423,80,60,20,1,0.483
 SC,0,20,40,30,9,1.5,3,2.5,8.7,3,0.31,80,60,20,1,0.138
 PH,0,20,40,30,9,1.5,1,2.5,8.7,3,0.155,80,60,20,1,0
 SC,90,0,40,30,9,0.5,1,0.3,8.7,1,0.443333333,80,60,20,1,0.379
 SC,0,0,40,40,10,1,4,2.5,9.7,4,0.288,80,60,20,5,0.333
 SC,270,20,40,40,9,0.5,3,2.5,8.7,1,0.465,80,60,20,5,0.308
 PH,180,20,40,30,9,1.5,4,2.5,8.7,1,0.482222222,80,60,20,5,0.655
 PH,0,20,40,30,9,0.5,3,2.5,8.7,4,0.258333333,80,60,20,1,0.414
 SC,270,20,40,40,10,0.5,1,2.5,9.7,4,0.126,80,60,20,1,0
 PH,0,40,40,40,12,1,1,2.5,11.7,1,0.364166667,80,60,20,5,0
 SC,0,20,40,50,12,1,4,0.3,11.7,1,0.665,80,60,20,1,0.082
 SC,90,0,40,50,12,1,3,0.3,11.7,1,0.64125,80,60,20,1,0.469
 PH,0,20,40,50,9,1,3,0.3,8.7,3,0.42,80,60,20,5,0.143
 PH,0,0,40,50,12,0.5,1,0.3,11.7,3,0.21375,80,60,20,1,0.224
 PH,180,40,40,50,9,0.5,3,2.5,8.7,2,0.361666667,80,60,20,1,0.306
 PH,270,20,40,50,12,0.5,4,0.3,11.7,4,0.38,80,60,20,1,0.531
 SC,0,0,40,40,9,1.5,3,0.3,8.7,2,0.49,80,60,20,5,0.333
 PH,0,40,40,50,9,1.5,4,0.3,8.7,1,0.653333333,80,60,20,1,0.184
 PH,0,20,40,40,12,0.5,3,0.3,11.7,1,0.64125,80,60,20,1,0.333
 SC,0,0,40,30,12,1,3,0.3,11.7,2,0.49875,80,60,20,5,0.69
 SC,270,40,40,50,12,1.5,1,2.5,11.7,1,0.364166667,80,60,20,1,0
